# Promyvion same-zone transition topology for zones 16 (Holla), 18 (Dem), 20 (Mea), 22 (Vahzl).
# Generated by tools/generate_promyvion_navigation.py from the local LandSandBoat checkout;
# regenerate rather than hand-edit. One row per island, forward receptacle/stream pair,
# return trigger and exit. forward availability is stream-open-evidence: a Memory Stream is
# OPEN only while live entity evidence says so (LSB opens the chosen stream for 180 seconds
# after its receptacle dies, then re-randomizes the choice; the choice itself is server-side
# and deliberately NOT recorded here). entity_server_id is the stream NPC to watch;
# paired_server_id is the receptacle whose death opens it. Landings marked unwalked are
# inferred from destination anchors and must not be spoken as verified.
record_id	zone	island_id	kind	group_id	name	anchor_x	anchor_z	anchor_y	radius	entity_server_id	paired_server_id	destination_island	landing_x	landing_z	landing_y	availability	window_seconds	source	confidence	note
16:island:floor-1	16	floor-1	island		Promyvion - Holla floor 1	92.033	80.380	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the zone-in point
16:island:floor-2	16	floor-2	island		Promyvion - Holla floor 2	-120.000	0.000	0.534									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
16:island:floor-3-east	16	floor-3-east	island		Promyvion - Holla floor 3 east	160.000	240.000	0.528									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
16:island:floor-3-west	16	floor-3-west	island		Promyvion - Holla floor 3 west	-160.000	120.000	0.534									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	anchor is the return trigger; height from island stream NPCs
16:island:floor-4	16	floor-4	island		Promyvion - Holla floor 4	120.000	-320.000	0.000									0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	inferred	anchor is the return trigger; no streams on this island, height inferred
16:forward:06	16	floor-1	forward	1	Floor 1: Portal	-40.000	200.000	0.589	3	16843061	16842781	floor-2	-120.000	0.000	0.534	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g8/warp_08; receptacle at (-40.000, 200.000, -1.000); event 37; landing inferred from destination anchor, unwalked
16:forward:07	16	floor-2	forward	3	Floor 2: Portal NW - Destination: East	-240.000	40.000	0.543	3	16843057	16842841	floor-3-east	160.000	240.000	0.528	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g4/warp_04; receptacle at (-240.000, 40.000, -1.000); event 33; landing inferred from destination anchor, unwalked
16:forward:08	16	floor-2	forward	2	Floor 2: Portal SW - Destination: West	-280.000	-40.000	0.541	3	16843058	16842848	floor-3-west	-160.000	120.000	0.534	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g5/warp_05; receptacle at (-280.000, -40.000, -1.000); event 34; landing inferred from destination anchor, unwalked
16:forward:09	16	floor-2	forward	3	Floor 2: Portal SE - Destination: East	-160.000	-200.000	0.504	3	16843059	16842855	floor-3-east	160.000	240.000	0.528	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g6/warp_06; receptacle at (-160.000, -200.000, -1.000); event 35; landing inferred from destination anchor, unwalked
16:forward:10	16	floor-2	forward	2	Floor 2: Portal NE - Destination: West	0.000	-40.000	0.547	3	16843060	16842862	floor-3-west	-160.000	120.000	0.534	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Holla/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0g7/warp_07; receptacle at (0.000, -40.000, -1.000); event 36; landing inferred from destination anchor, unwalked
